slugTeam,dateGame,numberGameTeamSeason,isB2B,isB2BSecond,countDaysRestTeam,slugOpponent,opp_numberGameTeamSeason,opp_isB2B,opp_isB2BSecond,opp_countDaysRestTeam,locationGame,outcomeGame,act_pts,act_opp_pts,act_net_pts,pts1,fgm1,fga1,pctFG1,opp_pctFG1,fg3m1,fg3a1,pctFG31,opp_pctFG31,fg2m1,fg2a1,pctFG21,opp_pctFG21,ftm1,fta1,pctFT1,opp_pctFT1,oreb1,dreb1,treb1,ast1,stl1,blk1,tov1,pf1,wins1,losses1,pts2,fgm2,fga2,pctFG2,opp_pctFG2,fg3m2,fg3a2,pctFG32,opp_pctFG32,fg2m2,fg2a2,pctFG22,opp_pctFG22,ftm2,fta2,pctFT2,opp_pctFT2,oreb2,dreb2,treb2,ast2,stl2,blk2,tov2,pf2,wins2,losses2
BOS,12/16/2017,32,TRUE,TRUE,0,MEM,30,TRUE,TRUE,0,A,W,102,93,9,5.35483871,0.548387097,-0.580645161,0.449942018,0.440307102,2.161290323,4.548387097,0.363163371,0.343902439,-1.612903226,-5.129032258,0.501230012,0.484593838,2.096774194,2.387096774,0.773448773,0.760904685,-0.483870968,1.612903226,1.129032258,1.838709677,0.967741935,0.322580645,-6.741935484,-0.35483871,24,7,-4.034482759,-0.517241379,0.068965517,0.444396365,0.451277609,-0.931034483,-0.517241379,0.346886912,0.374064838,0.413793103,0.586206897,0.494750656,0.492368945,-2.068965517,-2.965517241,0.786858974,0.776056338,-1.344827586,-1.862068966,-3.206896552,0.310344828,-0.034482759,-0.24137931,-6.689655172,1.965517241,9,20
CHA,12/16/2017,29,TRUE,TRUE,0,POR,29,TRUE,TRUE,0,H,L,91,93,-2,-2.142857143,-2.285714286,-2.178571429,0.437889489,0.452998379,-2.178571429,-6.285714286,0.349858357,0.349206349,-0.107142857,4.107142857,0.474426808,0.510718789,4.607142857,8.392857143,0.728316327,0.805100182,1.964285714,0.964285714,2.928571429,-2.678571429,-0.785714286,-0.535714286,-10.03571429,-4.642857143,10,18,2.142857143,0.107142857,0.928571429,0.442348008,0.445951674,0.428571429,-0.321428571,0.375,0.353191489,-0.321428571,1.25,0.470100651,0.485489722,1.5,-0.107142857,0.819488818,0.748807631,1.571428571,2.642857143,4.214285714,-0.285714286,-1.357142857,-0.142857143,-6,0,15,13
CLE,12/16/2017,30,TRUE,FALSE,1,UTA,30,TRUE,TRUE,0,H,W,109,100,9,3.724137931,-0.379310345,-4.034482759,0.483201991,0.465189873,0.586206897,0.655172414,0.378947368,0.368421053,-0.965517241,-4.689655172,0.550992471,0.521603006,3.896551724,3.310344828,0.805389222,0.743006993,-2.24137931,1.206896552,-1.034482759,-1.551724138,-0.689655172,-0.068965517,-7.103448276,-2.344827586,21,8,3.24137931,1,1.827586207,0.455379483,0.453304904,2.034482759,3.965517241,0.386911596,0.367724868,-1.034482759,-2.137931034,0.49443353,0.494021397,-0.793103448,-2.172413793,0.80862069,0.765163297,-0.344827586,-1.793103448,-2.137931034,2.965517241,1.24137931,0.551724138,-5.724137931,0.137931034,14,15
DAL,12/16/2017,30,FALSE,FALSE,1,SAS,30,TRUE,TRUE,0,A,L,96,98,-2,-3.482758621,-0.620689655,2.689655172,0.437091503,0.45907173,0.793103448,2.482758621,0.361171367,0.364705882,-1.413793103,0.206896552,0.482961992,0.511842105,-3.034482759,-3.931034483,0.768248175,0.768882175,-0.586206897,-3.862068966,-4.448275862,-1.344827586,-1.413793103,-1.068965517,-7.068965517,-0.206896552,8,21,2.896551724,0.655172414,0.965517241,0.455441478,0.452845866,-0.379310345,-1.724137931,0.36137931,0.352258065,1.034482759,2.689655172,0.495321637,0.500612745,1.965517241,1.24137931,0.779286927,0.726943942,1.793103448,1.517241379,3.310344828,1.827586207,-0.551724138,2.275862069,-5.862068966,-2.137931034,19,10
HOU,12/16/2017,28,TRUE,TRUE,0,MIL,28,TRUE,TRUE,0,H,W,115,111,4,11.18518519,0.296296296,-0.962962963,0.46989011,0.461103868,5.703703704,15.03703704,0.369047619,0.363636364,-5.407407407,-16,0.577797998,0.510124102,4.888888889,4.962962963,0.795252226,0.748148148,1.037037037,2.296296296,3.333333333,0.814814815,2,0.185185185,-5.592592593,-0.037037037,23,4,-0.407407407,1.666666667,0.962962963,0.480436761,0.465469613,-1.703703704,-1.62962963,0.357575758,0.400568182,3.37037037,2.592592593,0.533159948,0.496594005,-2.037037037,-2.185185185,0.751612903,0.76730486,-1.851851852,-2.444444444,-4.296296296,0.296296296,1.740740741,2.037037037,-7.444444444,2.111111111,15,12
LAC,12/16/2017,28,TRUE,TRUE,0,MIA,29,TRUE,TRUE,0,A,L,85,90,-5,-2.037037037,-1,0.666666667,0.447115385,0.462555066,0,1.148148148,0.354192741,0.368489583,-1,-0.481481481,0.496977837,0.510652463,-0.037037037,0.333333333,0.75422427,0.76635514,0.851851852,-1.296296296,-0.444444444,-3.666666667,-0.444444444,-0.518518519,-7.333333333,-0.703703704,11,16,-2.142857143,-0.285714286,-1.107142857,0.455618714,0.452976704,2.75,7.25,0.370824053,0.368345324,-3.035714286,-8.357142857,0.510439165,0.489217498,-4.321428571,-5,0.764023211,0.785388128,-1.392857143,-0.464285714,-1.857142857,1.107142857,-0.75,0.821428571,-3.392857143,2,14,14
MEM,12/16/2017,30,TRUE,TRUE,0,BOS,32,TRUE,TRUE,0,H,L,93,102,-9,-4.034482759,-0.517241379,0.068965517,0.444396365,0.451277609,-0.931034483,-0.517241379,0.346886912,0.374064838,0.413793103,0.586206897,0.494750656,0.492368945,-2.068965517,-2.965517241,0.786858974,0.776056338,-1.344827586,-1.862068966,-3.206896552,0.310344828,-0.034482759,-0.24137931,-6.689655172,1.965517241,9,20,5.35483871,0.548387097,-0.580645161,0.449942018,0.440307102,2.161290323,4.548387097,0.363163371,0.343902439,-1.612903226,-5.129032258,0.501230012,0.484593838,2.096774194,2.387096774,0.773448773,0.760904685,-0.483870968,1.612903226,1.129032258,1.838709677,0.967741935,0.322580645,-6.741935484,-0.35483871,24,7
MIA,12/16/2017,29,TRUE,TRUE,0,LAC,28,TRUE,TRUE,0,H,W,90,85,5,-2.142857143,-0.285714286,-1.107142857,0.455618714,0.452976704,2.75,7.25,0.370824053,0.368345324,-3.035714286,-8.357142857,0.510439165,0.489217498,-4.321428571,-5,0.764023211,0.785388128,-1.392857143,-0.464285714,-1.857142857,1.107142857,-0.75,0.821428571,-3.392857143,2,14,14,-2.037037037,-1,0.666666667,0.447115385,0.462555066,0,1.148148148,0.354192741,0.368489583,-1,-0.481481481,0.496977837,0.510652463,-0.037037037,0.333333333,0.75422427,0.76635514,0.851851852,-1.296296296,-0.444444444,-3.666666667,-0.444444444,-0.518518519,-7.333333333,-0.703703704,11,16
MIL,12/16/2017,28,TRUE,TRUE,0,HOU,28,TRUE,TRUE,0,A,L,111,115,-4,-0.407407407,1.666666667,0.962962963,0.480436761,0.465469613,-1.703703704,-1.62962963,0.357575758,0.400568182,3.37037037,2.592592593,0.533159948,0.496594005,-2.037037037,-2.185185185,0.751612903,0.76730486,-1.851851852,-2.444444444,-4.296296296,0.296296296,1.740740741,2.037037037,-7.444444444,2.111111111,15,12,11.18518519,0.296296296,-0.962962963,0.46989011,0.461103868,5.703703704,15.03703704,0.369047619,0.363636364,-5.407407407,-16,0.577797998,0.510124102,4.888888889,4.962962963,0.795252226,0.748148148,1.037037037,2.296296296,3.333333333,0.814814815,2,0.185185185,-5.592592593,-0.037037037,23,4
MIN,12/16/2017,30,FALSE,FALSE,1,PHX,31,FALSE,FALSE,2,H,L,106,108,-2,1.344827586,-0.724137931,0.034482759,0.471544715,0.480276535,-2.586206897,-6.689655172,0.357575758,0.364168618,1.862068966,6.724137931,0.513333333,0.542056075,5.379310345,6.344827586,0.791899441,0.772556391,1.103448276,0.310344828,1.413793103,-1.689655172,2.172413793,-1.068965517,-8.689655172,-4,17,12,-7.833333333,-2.733333333,-1.6,0.445574388,0.46799852,-2.033333333,-2.233333333,0.3289987,0.375598086,-0.7,0.633333333,0.493107105,0.509373326,-0.333333333,-0.266666667,0.755208333,0.760309278,0.566666667,-1.033333333,-0.466666667,-2.866666667,-1.933333333,0,-7.566666667,-0.633333333,9,21
NYK,12/16/2017,29,FALSE,FALSE,1,OKC,29,TRUE,TRUE,0,H,W,111,96,15,0.607142857,2.75,1,0.471177945,0.444209637,-3.785714286,-10.57142857,0.359300477,0.358918919,6.535714286,11.57142857,0.511048159,0.498959056,-1.107142857,-1.964285714,0.799283154,0.778140294,1.071428571,3.25,4.321428571,0.535714286,-1.357142857,-0.357142857,-5.142857143,0.107142857,15,13,2.285714286,1.464285714,6.25,0.434000817,0.449383803,-0.357142857,-0.142857143,0.346062053,0.356294537,1.821428571,6.392857143,0.479801119,0.504195804,-0.285714286,0.928571429,0.712933754,0.756578947,3,-1,2,-0.607142857,1.785714286,-0.107142857,-6.535714286,-0.142857143,14,14
OKC,12/16/2017,29,TRUE,TRUE,0,NYK,29,FALSE,FALSE,1,A,L,96,111,-15,2.285714286,1.464285714,6.25,0.434000817,0.449383803,-0.357142857,-0.142857143,0.346062053,0.356294537,1.821428571,6.392857143,0.479801119,0.504195804,-0.285714286,0.928571429,0.712933754,0.756578947,3,-1,2,-0.607142857,1.785714286,-0.107142857,-6.535714286,-0.142857143,14,14,0.607142857,2.75,1,0.471177945,0.444209637,-3.785714286,-10.57142857,0.359300477,0.358918919,6.535714286,11.57142857,0.511048159,0.498959056,-1.107142857,-1.964285714,0.799283154,0.778140294,1.071428571,3.25,4.321428571,0.535714286,-1.357142857,-0.357142857,-5.142857143,0.107142857,15,13
PHX,12/16/2017,31,FALSE,FALSE,2,MIN,30,FALSE,FALSE,1,A,W,108,106,2,-7.833333333,-2.733333333,-1.6,0.445574388,0.46799852,-2.033333333,-2.233333333,0.3289987,0.375598086,-0.7,0.633333333,0.493107105,0.509373326,-0.333333333,-0.266666667,0.755208333,0.760309278,0.566666667,-1.033333333,-0.466666667,-2.866666667,-1.933333333,0,-7.566666667,-0.633333333,9,21,1.344827586,-0.724137931,0.034482759,0.471544715,0.480276535,-2.586206897,-6.689655172,0.357575758,0.364168618,1.862068966,6.724137931,0.513333333,0.542056075,5.379310345,6.344827586,0.791899441,0.772556391,1.103448276,0.310344828,1.413793103,-1.689655172,2.172413793,-1.068965517,-8.689655172,-4,17,12
POR,12/16/2017,29,TRUE,TRUE,0,CHA,29,TRUE,TRUE,0,A,W,93,91,2,2.142857143,0.107142857,0.928571429,0.442348008,0.445951674,0.428571429,-0.321428571,0.375,0.353191489,-0.321428571,1.25,0.470100651,0.485489722,1.5,-0.107142857,0.819488818,0.748807631,1.571428571,2.642857143,4.214285714,-0.285714286,-1.357142857,-0.142857143,-6,0,15,13,-2.142857143,-2.285714286,-2.178571429,0.437889489,0.452998379,-2.178571429,-6.285714286,0.349858357,0.349206349,-0.107142857,4.107142857,0.474426808,0.510718789,4.607142857,8.392857143,0.728316327,0.805100182,1.964285714,0.964285714,2.928571429,-2.678571429,-0.785714286,-0.535714286,-10.03571429,-4.642857143,10,18
SAS,12/16/2017,30,TRUE,TRUE,0,DAL,30,FALSE,FALSE,1,H,W,98,96,2,2.896551724,0.655172414,0.965517241,0.455441478,0.452845866,-0.379310345,-1.724137931,0.36137931,0.352258065,1.034482759,2.689655172,0.495321637,0.500612745,1.965517241,1.24137931,0.779286927,0.726943942,1.793103448,1.517241379,3.310344828,1.827586207,-0.551724138,2.275862069,-5.862068966,-2.137931034,19,10,-3.482758621,-0.620689655,2.689655172,0.437091503,0.45907173,0.793103448,2.482758621,0.361171367,0.364705882,-1.413793103,0.206896552,0.482961992,0.511842105,-3.034482759,-3.931034483,0.768248175,0.768882175,-0.586206897,-3.862068966,-4.448275862,-1.344827586,-1.413793103,-1.068965517,-7.068965517,-0.206896552,8,21
UTA,12/16/2017,30,TRUE,TRUE,0,CLE,30,TRUE,FALSE,1,A,L,100,109,-9,3.24137931,1,1.827586207,0.455379483,0.453304904,2.034482759,3.965517241,0.386911596,0.367724868,-1.034482759,-2.137931034,0.49443353,0.494021397,-0.793103448,-2.172413793,0.80862069,0.765163297,-0.344827586,-1.793103448,-2.137931034,2.965517241,1.24137931,0.551724138,-5.724137931,0.137931034,14,15,3.724137931,-0.379310345,-4.034482759,0.483201991,0.465189873,0.586206897,0.655172414,0.378947368,0.368421053,-0.965517241,-4.689655172,0.550992471,0.521603006,3.896551724,3.310344828,0.805389222,0.743006993,-2.24137931,1.206896552,-1.034482759,-1.551724138,-0.689655172,-0.068965517,-7.103448276,-2.344827586,21,8
BKN,12/17/2017,29,FALSE,FALSE,1,IND,30,TRUE,FALSE,1,H,L,97,109,-12,-3.535714286,-3.25,-3.035714286,0.441345365,0.46254459,1.892857143,6.892857143,0.339285714,0.355731225,-5.142857143,-9.928571429,0.506729475,0.508503401,1.071428571,2.357142857,0.738227147,0.766768293,-0.214285714,-0.928571429,-1.142857143,0.964285714,-1.321428571,-1.25,-6.428571429,-0.821428571,11,17,1.034482759,0.206896552,-1.379310345,0.476039604,0.466276803,-1.068965517,-4.75862069,0.389473684,0.364142539,1.275862069,3.379310345,0.513314448,0.521295741,1.689655172,1.068965517,0.767605634,0.720670391,-1.344827586,0.310344828,-1.034482759,-0.413793103,0.931034483,-1.206896552,-5,0.103448276,16,13
CLE,12/17/2017,31,TRUE,TRUE,0,WAS,30,FALSE,FALSE,1,A,W,106,99,7,3.9,-0.2,-3.966666667,0.484738956,0.464929092,0.333333333,0.233333333,0.380658436,0.373056995,-0.533333333,-4.2,0.551383399,0.518856448,3.966666667,3.3,0.80729927,0.740614334,-2.266666667,1.366666667,-0.9,-1.3,-0.666666667,-0.266666667,-6.933333333,-2.233333333,22,8,2.517241379,1.379310345,1.620689655,0.456750202,0.449114133,-0.344827586,-2.689655172,0.357526882,0.335766423,1.724137931,4.310344828,0.499421965,0.507165109,0.103448276,-0.310344828,0.768786127,0.754636234,-0.517241379,-0.517241379,-1.034482759,0.655172414,1.103448276,-0.482758621,-8.103448276,0.482758621,16,13
DET,12/17/2017,30,FALSE,FALSE,1,ORL,31,FALSE,FALSE,1,H,W,114,110,4,0.862068966,0.482758621,4.206896552,0.447105788,0.464120856,1.103448276,1.965517241,0.378250591,0.365019011,-0.620689655,2.24137931,0.482218204,0.513174404,-1.206896552,-0.896551724,0.746402878,0.773195876,1.482758621,-1.862068966,-0.379310345,-2.413793103,0.75862069,-1.896551724,-4.965517241,0.931034483,16,13,-4.166666667,-1.566666667,-2.466666667,0.460323575,0.465168539,1.133333333,3.8,0.365555556,0.375318066,-2.7,-6.266666667,0.510613208,0.502653928,-2.166666667,-1.533333333,0.739130435,0.785607196,-2.3,-2.133333333,-4.433333333,-1.2,-0.566666667,-0.033333333,-4.533333333,0.866666667,11,19
IND,12/17/2017,30,TRUE,FALSE,1,BKN,29,FALSE,FALSE,1,A,W,109,97,12,1.034482759,0.206896552,-1.379310345,0.476039604,0.466276803,-1.068965517,-4.75862069,0.389473684,0.364142539,1.275862069,3.379310345,0.513314448,0.521295741,1.689655172,1.068965517,0.767605634,0.720670391,-1.344827586,0.310344828,-1.034482759,-0.413793103,0.931034483,-1.206896552,-5,0.103448276,16,13,-3.535714286,-3.25,-3.035714286,0.441345365,0.46254459,1.892857143,6.892857143,0.339285714,0.355731225,-5.142857143,-9.928571429,0.506729475,0.508503401,1.071428571,2.357142857,0.738227147,0.766768293,-0.214285714,-0.928571429,-1.142857143,0.964285714,-1.321428571,-1.25,-6.428571429,-0.821428571,11,17
ORL,12/17/2017,31,FALSE,FALSE,1,DET,30,FALSE,FALSE,1,A,L,110,114,-4,-4.166666667,-1.566666667,-2.466666667,0.460323575,0.465168539,1.133333333,3.8,0.365555556,0.375318066,-2.7,-6.266666667,0.510613208,0.502653928,-2.166666667,-1.533333333,0.739130435,0.785607196,-2.3,-2.133333333,-4.433333333,-1.2,-0.566666667,-0.033333333,-4.533333333,0.866666667,11,19,0.862068966,0.482758621,4.206896552,0.447105788,0.464120856,1.103448276,1.965517241,0.378250591,0.365019011,-0.620689655,2.24137931,0.482218204,0.513174404,-1.206896552,-0.896551724,0.746402878,0.773195876,1.482758621,-1.862068966,-0.379310345,-2.413793103,0.75862069,-1.896551724,-4.965517241,0.931034483,16,13
SAC,12/17/2017,29,FALSE,FALSE,2,TOR,28,FALSE,FALSE,1,A,L,93,108,-15,-9.285714286,-1.428571429,2.607142857,0.444491347,0.476045296,-3.321428571,-8.964285714,0.383870968,0.380022962,1.892857143,11.57142857,0.46598056,0.534736842,-3.107142857,-3.428571429,0.730125523,0.759581882,-0.25,-3.464285714,-3.714285714,-3.821428571,0,-0.035714286,-4.285714286,1.357142857,9,19,8.222222222,3.925925926,1.888888889,0.48329718,0.447204969,1.703703704,5.592592593,0.347010551,0.356125356,2.222222222,-3.703703704,0.563360882,0.488402062,-1.333333333,-1.962962963,0.783471074,0.775075988,-0.888888889,1.333333333,0.444444444,1.333333333,1.222222222,0.851851852,-6.740740741,2.296296296,19,8
TOR,12/17/2017,28,FALSE,FALSE,1,SAC,29,FALSE,FALSE,2,H,W,108,93,15,8.222222222,3.925925926,1.888888889,0.48329718,0.447204969,1.703703704,5.592592593,0.347010551,0.356125356,2.222222222,-3.703703704,0.563360882,0.488402062,-1.333333333,-1.962962963,0.783471074,0.775075988,-0.888888889,1.333333333,0.444444444,1.333333333,1.222222222,0.851851852,-6.740740741,2.296296296,19,8,-9.285714286,-1.428571429,2.607142857,0.444491347,0.476045296,-3.321428571,-8.964285714,0.383870968,0.380022962,1.892857143,11.57142857,0.46598056,0.534736842,-3.107142857,-3.428571429,0.730125523,0.759581882,-0.25,-3.464285714,-3.714285714,-3.821428571,0,-0.035714286,-4.285714286,1.357142857,9,19
WAS,12/17/2017,30,FALSE,FALSE,1,CLE,31,TRUE,TRUE,0,H,L,99,106,-7,2.517241379,1.379310345,1.620689655,0.456750202,0.449114133,-0.344827586,-2.689655172,0.357526882,0.335766423,1.724137931,4.310344828,0.499421965,0.507165109,0.103448276,-0.310344828,0.768786127,0.754636234,-0.517241379,-0.517241379,-1.034482759,0.655172414,1.103448276,-0.482758621,-8.103448276,0.482758621,16,13,3.9,-0.2,-3.966666667,0.484738956,0.464929092,0.333333333,0.233333333,0.380658436,0.373056995,-0.533333333,-4.2,0.551383399,0.518856448,3.966666667,3.3,0.80729927,0.740614334,-2.266666667,1.366666667,-0.9,-1.3,-0.666666667,-0.266666667,-6.933333333,-2.233333333,22,8
ATL,12/18/2017,30,FALSE,FALSE,2,MIA,30,FALSE,FALSE,1,H,W,110,104,6,-5.551724138,-1.965517241,-0.724137931,0.454989817,0.474151858,-1.172413793,-3.655172414,0.383413462,0.376332623,-0.793103448,2.931034483,0.49168207,0.533810143,-0.448275862,-1.103448276,0.783542039,0.763113367,-1.827586207,-2.75862069,-4.586206897,-2.620689655,0.655172414,-1,-5.655172414,-1.068965517,6,23,-1.896551724,-0.413793103,-1,0.452933727,0.452460384,2.793103448,7.24137931,0.36977492,0.365145228,-3.206896552,-8.24137931,0.506963788,0.490149254,-3.862068966,-4.586206897,0.76394052,0.779433681,-1.448275862,-0.655172414,-2.103448276,1.206896552,-0.482758621,0.896551724,-3.75862069,1.689655172,15,14
BOS,12/18/2017,33,FALSE,FALSE,1,IND,31,TRUE,TRUE,0,A,W,112,111,1,5.46875,0.75,-0.53125,0.451068616,0.439269747,2.09375,4.28125,0.36629667,0.346604215,-1.34375,-4.8125,0.501193317,0.482513661,1.875,2.21875,0.772277228,0.764150943,-0.34375,1.5625,1.21875,1.875,0.875,0.40625,-6.625,-0.34375,25,7,1.4,0.5,-1.5,0.478662053,0.464852608,-1.166666667,-5.1,0.390745501,0.364124597,1.666666667,3.6,0.516182117,0.519533528,1.566666667,0.966666667,0.768313458,0.724014337,-1.333333333,0.8,-0.533333333,-0.566666667,0.866666667,-1,-4.9,0.2,17,13
CHA,12/18/2017,30,FALSE,FALSE,1,NYK,30,FALSE,FALSE,1,H,W,109,91,18,-2.137931034,-2.344827586,-1.517241379,0.434278865,0.453474676,-2.206896552,-5.827586207,0.344640434,0.350993377,-0.137931034,4.310344828,0.471687429,0.510054845,4.75862069,8.448275862,0.725369458,0.795414462,2.172413793,0.793103448,2.965517241,-2.620689655,-0.517241379,-0.517241379,-10.20689655,-4.482758621,10,19,1.103448276,2.724137931,0.413793103,0.473406415,0.443492452,-3.586206897,-10.34482759,0.36809816,0.361344538,6.310344828,10.75862069,0.511319713,0.495663776,-0.75862069,-1.689655172,0.799657534,0.772511848,0.689655172,3.24137931,3.931034483,0.620689655,-1.310344828,-0.482758621,-5.275862069,0.103448276,16,13
CHI,12/18/2017,29,FALSE,FALSE,2,PHI,29,TRUE,FALSE,2,H,W,117,115,2,-7.678571429,-2.178571429,2.321428571,0.427057865,0.464210967,-0.714285714,-0.321428571,0.344497608,0.364497041,-1.464285714,2.642857143,0.469715698,0.518782383,-2.607142857,-1.964285714,0.73,0.789189189,1.428571429,-2.678571429,-1.25,-2.035714286,0,-1.035714286,-3.5,2.607142857,8,20,-0.392857143,0.928571429,-0.964285714,0.457351747,0.441944556,0.107142857,-0.178571429,0.353499407,0.347877358,0.821428571,-0.785714286,0.511426807,0.49055454,-2.357142857,-3.142857143,0.75037594,0.750332005,1.5,4.178571429,5.678571429,4.535714286,-0.892857143,-0.892857143,-4.25,2.107142857,14,14
DAL,12/18/2017,31,FALSE,FALSE,1,PHX,32,FALSE,FALSE,1,H,L,91,97,-6,-3.433333333,-0.6,2.4,0.438686709,0.458876221,0.933333333,2.5,0.361052632,0.36,-1.533333333,-0.1,0.485424588,0.513598988,-3.166666667,-4.1,0.770197487,0.770588235,-0.733333333,-3.666666667,-4.4,-1,-1.4,-0.966666667,-7,-0.133333333,8,22,-7.516129032,-2.870967742,-2.290322581,0.445911258,0.466404575,-1.903225806,-2.258064516,0.332912989,0.374275782,-0.967741935,-0.032258065,0.492244054,0.50749354,0.129032258,0.096774194,0.760896638,0.75875,0.64516129,-0.419354839,0.225806452,-2.741935484,-2.193548387,-0.161290323,-7.193548387,-0.548387097,10,21
DEN,12/18/2017,30,FALSE,FALSE,2,OKC,30,FALSE,FALSE,1,A,L,94,95,-1,0.344827586,-0.827586207,1.620689655,0.462118207,0.480598222,-0.034482759,1,0.370454545,0.384253819,-0.793103448,0.620689655,0.511273614,0.531115219,2.034482759,3.103448276,0.735202492,0.748188406,2.75862069,1,3.75862069,-0.896551724,-0.103448276,-0.206896552,-5.310344828,-2.620689655,16,13,1.689655172,1.344827586,6.586206897,0.433649289,0.452370782,-0.413793103,0,0.349132948,0.36300578,1.75862069,6.586206897,0.477504499,0.504742547,-0.586206897,0.689655172,0.709480122,0.758675079,3.24137931,-1.068965517,2.172413793,-0.689655172,1.724137931,0.034482759,-6.586206897,-0.137931034,14,15
GSW,12/18/2017,30,FALSE,FALSE,3,LAL,28,FALSE,FALSE,3,A,W,116,114,2,11.13793103,5.103448276,-4.655172414,0.515933844,0.432670237,1.862068966,0.862068966,0.402714932,0.351571595,3.24137931,-5.517241379,0.578683386,0.472364672,-0.931034483,-2.448275862,0.806122449,0.760242792,-2.793103448,5.862068966,3.068965517,7.689655172,-0.310344828,4.655172414,-2.172413793,2.24137931,23,6,-3,-0.481481481,-0.851851852,0.456089478,0.457119409,-1.481481481,-2.666666667,0.320441989,0.341708543,1,1.814814815,0.514201183,0.513101767,-0.555555556,1,0.702572347,0.759663866,0.62962963,0.333333333,0.962962963,0.518518519,-0.148148148,0.111111111,-3.925925926,1.407407407,10,17
HOU,12/18/2017,29,FALSE,FALSE,1,UTA,31,FALSE,FALSE,1,H,W,120,99,21,10.92857143,0.178571429,-1.142857143,0.46958741,0.461183382,5.607142857,14.78571429,0.367464905,0.361355082,-5.428571429,-15.92857143,0.578070175,0.511349306,4.964285714,5.107142857,0.796089385,0.752181501,0.857142857,2.285714286,3.142857143,0.75,1.75,0.071428571,-6.071428571,-0.428571429,24,4,2.833333333,0.8,1.833333333,0.455425575,0.455858086,2.2,4.233333333,0.391160221,0.370179949,-1.4,-2.4,0.492376112,0.4963548,-0.966666667,-2.2,0.804713805,0.768181818,-0.233333333,-1.933333333,-2.166666667,2.666666667,1.2,0.733333333,-5.633333333,0.1,14,16
IND,12/18/2017,31,TRUE,TRUE,0,BOS,33,FALSE,FALSE,1,H,L,111,112,-1,1.4,0.5,-1.5,0.478662053,0.464852608,-1.166666667,-5.1,0.390745501,0.364124597,1.666666667,3.6,0.516182117,0.519533528,1.566666667,0.966666667,0.768313458,0.724014337,-1.333333333,0.8,-0.533333333,-0.566666667,0.866666667,-1,-4.9,0.2,17,13,5.46875,0.75,-0.53125,0.451068616,0.439269747,2.09375,4.28125,0.36629667,0.346604215,-1.34375,-4.8125,0.501193317,0.482513661,1.875,2.21875,0.772277228,0.764150943,-0.34375,1.5625,1.21875,1.875,0.875,0.40625,-6.625,-0.34375,25,7
LAC,12/18/2017,29,FALSE,FALSE,1,SAS,31,FALSE,FALSE,1,A,L,91,109,-18,-2.142857143,-0.821428571,0.571428571,0.446790541,0.459608844,-0.142857143,0.857142857,0.351874244,0.367372354,-0.678571429,-0.285714286,0.497728748,0.507424145,-0.357142857,0.071428571,0.74887218,0.766214178,0.928571429,-1.035714286,-0.107142857,-3.678571429,-0.678571429,-0.607142857,-7,-0.428571429,11,17,2.866666667,0.633333333,1.133333333,0.455374851,0.453960595,-0.533333333,-1.766666667,0.356,0.352428394,1.166666667,2.9,0.497459063,0.502375297,2.133333333,1.5,0.780889621,0.729537367,1.9,1.4,3.3,1.466666667,-0.5,2.133333333,-5.966666667,-2.133333333,20,10
LAL,12/18/2017,28,FALSE,FALSE,3,GSW,30,FALSE,FALSE,3,H,L,114,116,-2,-3,-0.481481481,-0.851851852,0.456089478,0.457119409,-1.481481481,-2.666666667,0.320441989,0.341708543,1,1.814814815,0.514201183,0.513101767,-0.555555556,1,0.702572347,0.759663866,0.62962963,0.333333333,0.962962963,0.518518519,-0.148148148,0.111111111,-3.925925926,1.407407407,10,17,11.13793103,5.103448276,-4.655172414,0.515933844,0.432670237,1.862068966,0.862068966,0.402714932,0.351571595,3.24137931,-5.517241379,0.578683386,0.472364672,-0.931034483,-2.448275862,0.806122449,0.760242792,-2.793103448,5.862068966,3.068965517,7.689655172,-0.310344828,4.655172414,-2.172413793,2.24137931,23,6
MIA,12/18/2017,30,FALSE,FALSE,1,ATL,30,FALSE,FALSE,2,A,L,104,110,-6,-1.896551724,-0.413793103,-1,0.452933727,0.452460384,2.793103448,7.24137931,0.36977492,0.365145228,-3.206896552,-8.24137931,0.506963788,0.490149254,-3.862068966,-4.586206897,0.76394052,0.779433681,-1.448275862,-0.655172414,-2.103448276,1.206896552,-0.482758621,0.896551724,-3.75862069,1.689655172,15,14,-5.551724138,-1.965517241,-0.724137931,0.454989817,0.474151858,-1.172413793,-3.655172414,0.383413462,0.376332623,-0.793103448,2.931034483,0.49168207,0.533810143,-0.448275862,-1.103448276,0.783542039,0.763113367,-1.827586207,-2.75862069,-4.586206897,-2.620689655,0.655172414,-1,-5.655172414,-1.068965517,6,23
