slugTeam,dateGame,numberGameTeamSeason,isB2B,isB2BSecond,countDaysRestTeam,slugOpponent,opp_numberGameTeamSeason,opp_isB2B,opp_isB2BSecond,opp_countDaysRestTeam,locationGame,outcomeGame,act_pts,act_opp_pts,act_net_pts,pts1,fgm1,fga1,pctFG1,opp_pctFG1,fg3m1,fg3a1,pctFG31,opp_pctFG31,fg2m1,fg2a1,pctFG21,opp_pctFG21,ftm1,fta1,pctFT1,opp_pctFT1,oreb1,dreb1,treb1,ast1,stl1,blk1,tov1,pf1,wins1,losses1,pts2,fgm2,fga2,pctFG2,opp_pctFG2,fg3m2,fg3a2,pctFG32,opp_pctFG32,fg2m2,fg2a2,pctFG22,opp_pctFG22,ftm2,fta2,pctFT2,opp_pctFT2,oreb2,dreb2,treb2,ast2,stl2,blk2,tov2,pf2,wins2,losses2
CLE,10/21/2017,3,TRUE,TRUE,0,ORL,3,TRUE,TRUE,0,H,L,93,114,-21,11,4,-3,0.5,0.435294118,-1.5,-9.5,0.333333333,0.28358209,5.5,6.5,0.568965517,0.533980583,4.5,2.5,0.904761905,0.783783784,0.5,8.5,9,-1.5,-4.5,0.5,-3.5,-2.5,2,0,1,-1,-7,0.491620112,0.466321244,4.5,-1.5,0.481481481,0.298245614,-5.5,-5.5,0.496,0.536764706,-1.5,-4,0.795454545,0.730769231,-3,2,-1,1.5,-1,1,-0.5,4,1,1
DAL,10/21/2017,3,TRUE,TRUE,0,HOU,3,FALSE,FALSE,2,A,L,91,107,-16,-5.5,-8,-10,0.428571429,0.46961326,4.5,18.5,0.358974359,0.463414634,-12.5,-28.5,0.493975904,0.471428571,6,7,0.785714286,0.75,-7,-8,-15,3,-3,1,-4.5,-2,0,2,3,-2.5,6,0.444444444,0.505952381,1.5,16.5,0.313953488,0.452830189,-4,-10.5,0.563829787,0.530434783,6.5,8.5,0.833333333,0.870967742,3.5,-1.5,2,-3,3,-2.5,-9.5,-7.5,2,0
DEN,10/21/2017,2,FALSE,FALSE,2,SAC,3,TRUE,TRUE,0,H,W,96,79,17,-10,-5,-4,0.467532468,0.50617284,4,3,0.481481481,0.375,-9,-7,0.46,0.561403509,-4,-4,0.916666667,0.9375,1,1,2,-7,-5,-2,2,0,0,1,0,7.5,8.5,0.451428571,0.405063291,-2.5,-16,0.391304348,0.294871795,10,24.5,0.472868217,0.5125,-12.5,-13.5,0.739130435,0.84,3,6.5,9.5,0.5,-1,-1.5,2,5.5,1,1
DET,10/21/2017,3,TRUE,TRUE,0,NYK,2,FALSE,FALSE,1,A,W,111,107,4,4,7.5,17.5,0.459016393,0.466216216,2,1,0.387755102,0.319148936,5.5,16.5,0.485074627,0.534653465,-13,-16,0.8125,0.8125,4.5,-6.5,-2,1,5,-3,-3,10,1,1,-21,-7,-11,0.405063291,0.433333333,-4,-14,0.291666667,0.289473684,-3,3,0.454545455,0.538461538,-3,-3,0.684210526,0.727272727,-2,2,0,-7,-6,-3,3,1,0,1
GSW,10/21/2017,3,TRUE,TRUE,0,MEM,2,FALSE,FALSE,2,A,L,101,111,-10,3.5,-1,-12,0.526315789,0.471794872,1.5,-3.5,0.485714286,0.402597403,-2.5,-8.5,0.554455446,0.516949153,4,0,0.853658537,0.658536585,-5,3.5,-1.5,4.5,-3,4,0,6.5,1,1,12,9,13,0.423913043,0.379746835,2,4,0.310344828,0.28,7,9,0.476190476,0.425925926,-8,-1,0.571428571,0.827586207,-1,-5,-6,4,5,-4,-20,-2,1,0
HOU,10/21/2017,3,FALSE,FALSE,2,DAL,3,TRUE,TRUE,0,H,W,107,91,16,3,-2.5,6,0.444444444,0.505952381,1.5,16.5,0.313953488,0.452830189,-4,-10.5,0.563829787,0.530434783,6.5,8.5,0.833333333,0.870967742,3.5,-1.5,2,-3,3,-2.5,-9.5,-7.5,2,0,-5.5,-8,-10,0.428571429,0.46961326,4.5,18.5,0.358974359,0.463414634,-12.5,-28.5,0.493975904,0.471428571,6,7,0.785714286,0.75,-7,-8,-15,3,-3,1,-4.5,-2,0,2
IND,10/21/2017,3,TRUE,TRUE,0,MIA,2,FALSE,FALSE,2,A,L,108,112,-4,-4.5,-1.5,-4.5,0.488888889,0.481481481,-4,1.5,0.25,0.428571429,2.5,-6,0.5859375,0.5,2.5,8,0.723076923,0.857142857,-1,-3,-4,1.5,0.5,2.5,-12.5,-4.5,1,1,-7,1,11,0.435643564,0.477777778,0,9,0.266666667,0.380952381,1,2,0.507042254,0.507246377,-9,-12,0.764705882,0.75862069,0,-6,-6,5,-2,-5,-5,2,0,1
LAC,10/21/2017,2,FALSE,FALSE,1,PHX,3,TRUE,TRUE,0,H,W,130,88,42,16,5,16,0.392523364,0.406593407,8,17,0.363636364,0.25,-3,-1,0.405405405,0.44,-2,-10,0.923076923,0.608695652,5,2,7,2,4,-4,-1,5,1,0,-25,-9.5,-1,0.403314917,0.50273224,-2.5,3,0.375,0.52,-7,-4,0.416,0.496240602,-3.5,-2.5,0.696428571,0.754098361,0,-8,-8,-8.5,0.5,3.5,-8,-2,0,2
MEM,10/21/2017,2,FALSE,FALSE,2,GSW,3,TRUE,TRUE,0,H,W,111,101,10,12,9,13,0.423913043,0.379746835,2,4,0.310344828,0.28,7,9,0.476190476,0.425925926,-8,-1,0.571428571,0.827586207,-1,-5,-6,4,5,-4,-20,-2,1,0,3.5,-1,-12,0.526315789,0.471794872,1.5,-3.5,0.485714286,0.402597403,-2.5,-8.5,0.554455446,0.516949153,4,0,0.853658537,0.658536585,-5,3.5,-1.5,4.5,-3,4,0,6.5,1,1
MIA,10/21/2017,2,FALSE,FALSE,2,IND,3,TRUE,TRUE,0,H,W,112,108,4,-7,1,11,0.435643564,0.477777778,0,9,0.266666667,0.380952381,1,2,0.507042254,0.507246377,-9,-12,0.764705882,0.75862069,0,-6,-6,5,-2,-5,-5,2,0,1,-4.5,-1.5,-4.5,0.488888889,0.481481481,-4,1.5,0.25,0.428571429,2.5,-6,0.5859375,0.5,2.5,8,0.723076923,0.857142857,-1,-3,-4,1.5,0.5,2.5,-12.5,-4.5,1,1
